bioguide,Name,Year,pre_speeches,post_speeches,has_both
A000014,Neil Abercrombie,1986,1,5,TRUE
A000103,Bill Alexander,1992,64,33,TRUE
A000179,H. Carl Andersen,1962,78,0,FALSE
A000213,Beryl Anthony Jr.,1992,13,0,FALSE
A000226,Chester G. Atkins,1992,80,1,TRUE
A000257,Homer D. Angell,1954,41,4,TRUE
A000362,Jason Altmire,2012,56,36,TRUE
A000366,Sandy Adams,2012,61,6,TRUE
B000037,Donald A. Bailey,1982,39,67,TRUE
B000141,Walter S. Baring Jr.,1972,18,1,TRUE
B000169,Bob Barr,2002,100,6,TRUE
B000296,Lindley Beckworth,1966,17,14,TRUE
B000342,John J. Bell,1956,1,0,FALSE
B000517,Lucien Blackwell,1994,38,0,FALSE
B000725,Frank W. Boykin,1962,5,4,TRUE
B000788,John B. Breckinridge,1978,23,2,TRUE
B000911,Corrine Brown,2016,91,3,TRUE
B000971,Terry L. Bruce,1992,19,7,TRUE
B001008,John Hall Buchanan Jr.,1980,99,48,TRUE
B001024,Charles A. Buckley,1964,12,0,FALSE
B001212,James A. Byrne,1972,36,14,TRUE
B001220,Beverly Byron,1992,33,15,TRUE
B001223,Jamaal Bowman,2024,21,7,TRUE
B001224,Cori Bush,2024,52,11,TRUE
B001241,Chris Bell,2004,59,2,TRUE
B001280,Kerry Bentivolio,2014,87,7,TRUE
B001312,Carolyn Bourdeaux,2022,25,3,TRUE
C000116,Chris Cannon,2008,58,18,TRUE
C000156,Frank Ertel Carlyle,1956,2,1,TRUE
C000162,A. S. J. Carnahan,1960,39,3,TRUE
C000264,Emanuel Celler,1972,88,52,TRUE
C000336,R. Thurmond Chatham,1956,5,5,TRUE
C000596,Jeffery Cohelan,1970,171,48,TRUE
C000670,Gary Condit,2002,21,3,TRUE
C000702,William Sheldrick Conover,1972,0,5,FALSE
C000722,Merrill Cook,2000,40,2,TRUE
C000932,Robert Crosser,1954,13,7,TRUE
C000991,Glenn Cunningham,1970,44,13,TRUE
C001037,Michael Capuano,2018,31,0,FALSE
C001038,Joseph Crowley,2018,85,5,TRUE
C001046,Eric Cantor,2014,186,6,TRUE
C001049,William Lacy Clay,2020,29,13,TRUE
C001054,Jerry Carl,2024,22,21,TRUE
C001060,Russ Carnahan,2012,86,7,TRUE
C001085,Hansen Clarke,2012,95,6,TRUE
C001104,Madison Cawthorn,2022,46,9,TRUE
C001109,Liz Cheney,2022,31,3,TRUE
D000094,Clifford Davis,1964,16,0,FALSE
D000102,Glenn Robert Davis,1974,48,7,TRUE
D000109,James C. Davis,1962,95,2,TRUE
D000122,John W. Davis,1974,36,1,TRUE
D000175,Charles B. Deane,1956,40,7,TRUE
D000269,Ed Derwinski,1982,145,142,TRUE
D000425,Edwin B. Dooley,1962,28,0,FALSE
D000537,Robert B. Duncan,1980,98,81,TRUE
E000077,Mickey Edwards,1992,63,3,TRUE
E000120,Carl Elliott,1964,22,15,TRUE
E000179,Eliot Engel,2020,266,62,TRUE
E000233,Billy Lee Evans,1982,11,1,TRUE
E000291,Renee Ellmers,2016,39,4,TRUE
F000012,George Hyde Fallon,1970,39,8,TRUE
F000015,Leonard Farbstein,1970,216,16,TRUE
F000040,John G. Fary,1982,26,33,TRUE
F000043,Chaka Fattah,2016,77,0,FALSE
F000060,Michael A. Feighan,1970,111,26,TRUE
F000257,Michael Forbes,2000,55,4,TRUE
F000353,James B. Frazier Jr.,1962,3,0,FALSE
F000384,Samuel Friedel,1970,67,12,TRUE
F000445,ca,2016,26,7,TRUE
G000016,Cornelius Gallagher,1972,41,0,FALSE
G000069,Peter A. Garland,1962,11,0,FALSE
G000175,Jacob H. Gilbert,1970,64,1,TRUE
G000180,Wayne Gilchrest,2008,23,8,TRUE
G000447,Noble Jones Gregory,1958,1,0,FALSE
G000480,Wayne R. Grisham,1982,4,1,TRUE
G000557,Parker Griffith,2010,40,3,TRUE
G000595,Bob Good,2024,130,11,TRUE
H000010,George Elliott Hagan,1972,14,8,TRUE
H000058,Katie Hall,1984,54,14,TRUE
H000067,Ralph Hall,2014,37,8,TRUE
H000175,Orval H. Hansen,1974,63,11,TRUE
H000269,Frank Harrison,1984,45,12,TRUE
H000278,William Henry Harrison III,1968,42,3,TRUE
H000310,Ralph Harvey,1966,41,18,TRUE
H000340,Charles Hatcher,1992,5,1,TRUE
H000388,Charles Hayes,1992,47,36,TRUE
H000424,James C. Healey,1964,8,0,FALSE
H000621,Earl Hilliard,2002,27,7,TRUE
H000638,Andrew J. Hinshaw,1976,38,0,FALSE
H000712,Tim Holden,2012,10,3,TRUE
H000878,Carroll Hubbard,1992,44,26,TRUE
H001057,Tim Huelskamp,2016,28,4,TRUE
I000023,Bob Inglis,2010,53,5,TRUE
J000211,Ben Jones,1992,25,7,TRUE
J000306,Mondaire Jones,2022,40,5,TRUE
K000025,Abraham Kazen,1984,76,46,TRUE
K000032,Carroll D. Kearns,1962,44,23,TRUE
K000038,James Kee,1972,33,9,TRUE
K000070,Edna F. Kelly,1968,135,47,TRUE
K000077,Richard Kelly,1980,110,5,TRUE
K000180,Carolyn Cheeks Kilpatrick,2010,39,2,TRUE
K000181,Jay Kim,1998,80,52,TRUE
K000307,Joseph P. Kolter,1992,25,8,TRUE
