Name,State,District,Year,Primary_Date,Bioguide_ID,Margin,Source,pres_year,cd_state,total_dem,total_rep,total_votes,dem_share,competitive,district_type
Cori Bush,MO,1,2024,2024-08-06T00:00:00Z,B001224,5.5,MO SoS,2020,Missouri,593690.3103647999,299347.31382434,908767.2202863601,0.6532919510209921,FALSE,Safe
Jamaal Bowman,NY,16,2024,2024-06-25T00:00:00Z,B001223,17.2,Ballotpedia,2020,New York,170591.62256771,53125.49609933,225931.01293012,0.7550606725269436,FALSE,Safe
Jerry Carl,AL,1,2024,2024-03-05T00:00:00Z,C001054,3.4,Ballotpedia,2020,Alabama,116785.89596925,209770.5812474,330814.20913225,0.35302563416362315,FALSE,Safe
Bob Good,VA,5,2024,2024-06-18T00:00:00Z,G000595,0.6,FEC,2020,Virginia,196373.8702909462,254517.60239154779,458423.1788602575,0.4283681090890202,FALSE,Safe
Carolyn Bourdeaux,GA,7,2022,2022-05-24T00:00:00Z,B001312,32.5,GA SoS,2020,Georgia,378718.09510757006,327426.27654417,716405.78739741,0.5286362865428454,TRUE,Competitive
Rodney Davis,IL,15,2022,2022-06-28T00:00:00Z,D000619,14.9,IL SoS,2020,Illinois,95006.50359742001,234702.76837299002,336635.0635316,0.28222402800444385,FALSE,Safe
Marie Newman,IL,6,2022,2022-06-28T00:00:00Z,N000192,38.4,IL SoS,2020,Illinois,294348.38789665897,178486.18318731702,484093.80143719504,0.608039985273075,FALSE,Safe
Andy Levin,MI,11,2022,2022-08-02T00:00:00Z,L000592,19.9,MI SoS,2020,Michigan,298438.7853742,189744.31336330998,495590.45318411,0.6021883259791752,FALSE,Safe
Peter Meijer,MI,3,2022,2022-08-02T00:00:00Z,M001186,3.5,MI SoS,2020,Michigan,193805.19175051202,206553.20731474002,409235.03020148206,0.4735791842039874,TRUE,Competitive
Steven Palazzo,MS,4,2022,2022-06-28T00:00:00Z,P000601,8.2,MS SoS,2020,Mississippi,96820.89148014001,218941.36615501,320622.58039514,0.30197776887958583,FALSE,Safe
Madison Cawthorn,NC,11,2022,2022-05-17T00:00:00Z,C001104,1.6,NC SoS,2020,North Carolina,169101.49187682653,264324.99148107285,439871.1051904389,0.3844341896556613,FALSE,Safe
Mondaire Jones,NY,10,2022,2022-08-23T00:00:00Z,J000306,7.8,FEC,2020,New York,270931.8308149,50109.0275979,325204.85395633004,0.8331112759198912,FALSE,Safe
Carolyn Maloney,NY,12,2022,2022-08-23T00:00:00Z,M000087,31,FEC,2020,New York,226128.27172382004,42626.215740535,272260.09790519,0.8305597238217602,FALSE,Safe
Kurt Schrader,OR,5,2022,2022-05-17T00:00:00Z,S001180,9.7,FEC,2020,Oregon,230912.30955845086,201252.728633797,446687.6141405303,0.5169436139453928,TRUE,Competitive
Tom Rice,SC,7,2022,2022-06-14T00:00:00Z,R000597,26.5,FEC,2020,South Carolina,13.489824230700002,19.346554407880003,33.097921475190006,0.40757315352300566,FALSE,Safe
Jaime Herrera Beutler,WA,3,2022,2022-08-02T00:00:00Z,H001056,8.7,FEC,2020,Washington,205240.12349113493,216252.5512364265,435180.3047250252,0.47162089199054813,TRUE,Competitive
David McKinley,WV,2,2022,2022-05-10T00:00:00Z,M001180,18.7,FEC,2020,West Virginia,92623,184784,282576,0.3277808447992752,FALSE,Safe
Liz Cheney,WY,1,2022,2022-08-16T00:00:00Z,C001109,37.4,FEC,2020,Wyoming,NA,NA,NA,NA,NA,Unknown
Scott Tipton,CO,3,2020,2020-06-30T00:00:00Z,T000470,9.2,CO SoS,2016,Colorado,150959.63119459,195198.70582590002,376302.13281943,0.401166025989623,FALSE,Safe
Ross Spano,FL,15,2020,2020-08-18T00:00:00Z,S001210,2.4,FL SoS,2016,Florida,174809.34455908,177656.5719324,369470.01079076005,0.47313540870324877,TRUE,Competitive
Steve King,IA,4,2020,2020-06-02T00:00:00Z,K000362,9.4,IA SoS,2016,Iowa,127401,231229,383739,0.33199909313361425,FALSE,Safe
Daniel Lipinksi,IL,3,2020,2020-03-17T00:00:00Z,L000563,2.5,IL SoS,2016,Illinois,282553.88918643724,95591.886350349,399935.6857443524,0.706498317749649,FALSE,Safe
Steve Watkins,KS,2,2020,2020-08-04T00:00:00Z,W000824,15.2,KS SoS,2016,Kansas,110858.22158510999,165807.95155397,299833.05215148,0.3697331591351804,FALSE,Safe
William Lacy Clay,MO,1,2020,2020-08-04T00:00:00Z,C001049,2.9,MO SoS,2016,Missouri,529611.05248548,302461.87063512,883508.7543903601,0.5994406392168948,FALSE,Safe
Eliot Engel,NY,16,2020,2020-06-23T00:00:00Z,E000179,14.8,FEC,2016,New York,160366.74200374,41758.76993742,208262.85072235,0.7700208724096276,FALSE,Safe
Michael Capuano,MA,7,2018,2018-09-04T00:00:00Z,C001037,17.2,MA SoS,2016,Massachusetts,179718.210189424,42399.347480722005,235499.79117047004,0.7631353271958202,FALSE,Safe
Robert Pittenger,NC,9,2018,2018-05-08T00:00:00Z,P000606,2.3,NC SoS,2016,North Carolina,212701.38022603997,164885.30409915998,395830.47643189004,0.5373547336308734,TRUE,Competitive
Joseph Crowley,NY,14,2018,2018-06-26T00:00:00Z,C001038,13.5,FEC,2016,New York,175598.75636646,30960.81715461,211610.23928814,0.8298216426444053,FALSE,Safe
Mark Sanford,SC,1,2018,2018-06-12T00:00:00Z,S000051,4.1,FEC,2016,South Carolina,NA,NA,NA,NA,NA,Unknown
Corrine Brown,FL,5,2016,2016-08-30T00:00:00Z,B000911,8.6,FL SoS,2012,Florida,208511.9109638414,284190.3373784203,498016.6510416061,0.418684617327025,FALSE,Safe
Tim Huelskamp,KS,1,2016,2016-08-02T00:00:00Z,H001057,13.1,KS SoS,2012,Kansas,64361.61159821171,177755.336374126,247664.96188439638,0.25987370643189345,FALSE,Safe
Renee Ellmers,NC,2,2016,2016-06-07T00:00:00Z,E000291,29.8,NC SoS,2012,North Carolina,160156.17251120438,177358.68992343632,341437.71548041754,0.4690640935371119,TRUE,Competitive
Chaka Fattah,PA,2,2016,2016-04-26T00:00:00Z,F000043,7.8,FEC,2012,Pennsylvania,226345.357293784,40194.308325394,268538.70599712,0.8428779622413594,FALSE,Safe
ca,VA,2,2016,2016-06-14T00:00:00Z,F000445,11.9,FEC,2012,Virginia,160022.17193815002,130735.20501679,295104.83200130996,0.5422553431366373,TRUE,Competitive
John Tierney,MA,6,2014,2014-09-09T00:00:00Z,T000266,10.7,MA SoS,2012,Massachusetts,211523.44902611998,143028.14935845003,360459.63567582,0.5868159097190954,FALSE,Safe
Kerry Bentivolio,MI,11,2014,2014-08-05T00:00:00Z,B001280,32.8,MI SoS,2012,Michigan,282796.58981402,143418.01974794,429747.85491167,0.6580523592657508,FALSE,Safe
Eric Cantor,VA,7,2014,2014-06-10T00:00:00Z,C001046,11.1,FEC,2012,Virginia,183444.6584062568,195891.85205054932,384950.741056063,0.4765406033587568,TRUE,Competitive
Ralph Hall,TX,4,2014,2014-05-27T00:00:00Z,H000067,5.6,TX SoS,2012,Texas,96389.15826983763,242818.47017499263,343731.5752092963,0.28041985439116784,FALSE,Safe
Clifford Bundy Stearns,FL,3,2012,2012-08-14T00:00:00Z,S000822,1.4,FL SoS,2008,Florida,112530318.65598714,96142245.71862525,211690483.97531238,0.5315794859683469,TRUE,Competitive
Sandy Adams,FL,7,2012,2012-08-14T00:00:00Z,A000366,22.4,FL SoS,2008,Florida,220421243.0895907,188320743.8477899,414653403.5038318,0.5315794859683427,TRUE,Competitive
Donald A. Manzullo,IL,16,2012,2012-03-20T00:00:00Z,M001138,7.9,IL SoS,2008,Illinois,459740304.82951146,392787169.5520465,864857122.9042717,0.5315794859683415,TRUE,Competitive
Hansen Clarke,MI,14,2012,2012-08-07T00:00:00Z,C001085,11.8,MI SoS,2008,Michigan,14842671.120066414,12681095.645953268,27921828.27188767,0.5315794859683437,TRUE,Competitive
Russ Carnahan,MO,1,2012,2012-08-07T00:00:00Z,C001060,29.4,MO SoS,2008,Missouri,62065509.6172369,53026753.56775587,116756780.98107189,0.5315794859683456,TRUE,Competitive
Steven Rothman,NJ,9,2012,2012-06-05T00:00:00Z,R000462,22.4,NJ SoS,2008,New Jersey,48011694.52532875,41019630.86528752,90318937.79322429,0.5315794859683411,TRUE,Competitive
Benjamin Quayle,AZ,6,2012,2012-08-28T00:00:00Z,Q000024,3,FEC,2008,Arizona,29409309.456220686,25126357.8556004,55324387.476404965,0.5315794859683413,TRUE,Competitive
Dennis J. Kucinich,OH,9,2012,2012-03-06T00:00:00Z,K000336,16.2,FEC,2008,Ohio,212128854.7111124,181235996.81605697,399053876.81522334,0.5315794859683468,TRUE,Competitive
Jean Schmidt,OH,2,2012,2012-03-06T00:00:00Z,S001164,5.9,FEC,2008,Ohio,344852505.9790765,294630769.4007437,648731779.6902615,0.5315794859683414,TRUE,Competitive
John Sullivan,OK,1,2012,2012-06-26T00:00:00Z,S001155,7.7,FEC,2008,Oklahoma,213515221.02183592,182420463.11894715,401661890.00482166,0.5315794859683423,TRUE,Competitive
Jason Altmire,PA,12,2012,2012-04-24T00:00:00Z,A000362,2.3,FEC,2008,Pennsylvania,266558266.14347535,227738716.35645005,501445735.1714827,0.5315794859683445,TRUE,Competitive
Tim Holden,PA,17,2012,2012-04-24T00:00:00Z,H000712,14.3,Ballotpedia,2008,Pennsylvania,240167929.11342195,205191670.3901347,451800596.99994504,0.5315794859683445,TRUE,Competitive
Silvestre Reyes,TX,16,2012,2012-05-29T00:00:00Z,R000170,6.1,TX SoS,2008,Texas,59920489.64508217,51194118.24158517,112721598.9833186,0.5315794859683428,TRUE,Competitive
Carolyn Cheeks Kilpatrick,MI,13,2010,2010-08-03T00:00:00Z,K000180,6.4,MI SoS,2008,Michigan,13363176.442627313,11417063.494292963,25138623.282808665,0.5315794859683455,TRUE,Competitive
Parker Griffith,AL,5,2010,2010-06-01T00:00:00Z,G000557,17.4,FEC,2008,Alabama,421438359.17728794,360063232.4444381,792804030.8206831,0.5315794859683416,TRUE,Competitive
Bob Inglis,SC,4,2010,2010-06-22T00:00:00Z,I000023,41.3,FEC,2008,South Carolina,196502003.42468396,167884923.13091865,369656859.626043,0.5315794859683433,TRUE,Competitive
Alan Mollohan,WV,1,2010,2010-05-11T00:00:00Z,M000844,11.8,FEC,2008,West Virginia,1288980091.763156,1101262683.5933683,2424811577.171944,0.5315794859683458,TRUE,Competitive
Wayne Gilchrest,MD,1,2008,2008-02-12T00:00:00Z,G000180,10.3,MD SoS,2004,Maryland,542766075.5841477,566716177.5497904,1120775035.110715,0.48427744960480046,TRUE,Competitive
Al Wynn,MD,4,2008,2008-02-12T00:00:00Z,W000784,22,MD SoS,2004,Maryland,45034117.08056145,47021293.038180575,92992389.21265492,0.4842774496048001,TRUE,Competitive
David Davis,TN,1,2008,2008-08-07T00:00:00Z,D000606,0.9,FEC,2004,Tennessee,613491180.6672666,640562099.4165455,1266817567.425264,0.4842774496048024,TRUE,Competitive
